ID,店舗名,カテゴリ,電話番号,住所,URL,オープン日,デリバリー導入,テイクアウト可否,定休日,交通手段,営業時間,公式アカウント（HPURL）,ステータス,作成日,更新日時
000b1fe5-5ea8-43b3-bf10-96d2b86d3371,スターバックスコーヒー PMO EX本町店,カフェ,06-4303-5210,堺筋本町駅 358m / カフェ,https://tabelog.com/osaka/A2701/A270106/27151132/,2025-08-09,-,-,-,-,-,-,new,2026/01/05,2026-01-07T03:15:15.642Z
001d3d99-a5c3-4b2b-9d66-853fad987916,七宝麻辣湯 溝の口店,中華料理,044-455-7886,武蔵溝ノ口駅 316m / 中華料理,https://tabelog.com/kanagawa/A1405/A140505/14099496/,2025-06-27,-,-,-,-,-,-,new,2026/01/05,2026-01-06T09:51:56.488Z
002fad5a-27d6-42c3-b658-128af346d35f,回転寿司 力丸 神戸元町店,回転寿司,-,みなと元町駅 257m / 回転寿司,https://tabelog.com/hyogo/A2801/A280102/28074667/,2025-11-21,-,-,-,-,-,-,new,2026/01/05,2026-01-06T09:13:03.083Z
003cc66f-c30d-45fd-8729-9d37886406e0,ガンガ,インド料理、ネパール料理、インドカレー,050-5596-6666,香里園駅 429m / インド料理、ネパール料理、インドカレー,https://tabelog.com/osaka/A2707/A270702/27151177/,2025-07-19,-,-,-,-,-,-,new,2026/01/05,2026-01-07T16:32:58.852Z
0052e3b7-9178-40cd-8d9b-85dd2e9f3ee0,Twinkle,カフェ、クレープ・ガレット,不明の為情報お待ちしております,新綱島駅 613m / カフェ、クレープ・ガレット,https://tabelog.com/kanagawa/A1401/A140204/14101262/,2025-11-01,-,-,-,-,-,-,new,2026/01/05,2026-01-06T12:50:29.530Z
005764d0-a9f0-4647-9871-b1b0a2fa0803,幸せ麻辣湯,中華料理,不明の為情報お待ちしております,十三駅 131m / 中華料理,https://tabelog.com/osaka/A2701/A270302/27152453/,2025-09-01,-,-,-,-,-,-,new,2026/01/05,2026-01-07T02:53:39.613Z
00582c90-3139-41e5-ae75-67b5f725f63f,吉野家 千歳烏山北口店,牛丼,03-5969-8929,千歳烏山駅 82m / 牛丼,https://tabelog.com/tokyo/A1318/A131809/13316961/,2025-12-13,-,-,-,-,-,-,new,2026/01/05,2026-01-07T12:46:09.428Z
0059858a-44ae-469f-9e56-631196e6c8f4,パティシエカフェポポラス,カフェ,043-400-2133,地区センター駅 67m / カフェ,https://tabelog.com/chiba/A1204/A120402/12063403/,2025-05-09,-,-,-,-,-,-,new,2026/01/05,2026-01-06T09:12:59.638Z
005bcf9e-a37d-4cb4-b172-b787b6dc1623,日高屋 ウニクス秩父店,中華料理,0494-23-6888,埼玉県秩父市上野町805-141F,https://tabelog.com/saitama/A1107/A110701/11065330/,2025-05-27,-,-,-,秩父駅から406m,10:00 - 23:00,-,new,2026/01/05,2026-01-06T09:13:52.791Z
0061f940-5a66-4a38-9621-efe490f96694,鉄板ホルモン 五の五 十三店,居酒屋、ホルモン,06-6711-4340,十三駅 57m / 居酒屋、ホルモン,https://tabelog.com/osaka/A2701/A270302/27151419/,2025-08-18,-,-,-,-,-,-,new,2026/01/05,2026-01-07T18:34:43.718Z
007112ea-c8a7-465b-bd20-8a120d9bdd67,大衆馬肉酒場 ぶらいあん,居酒屋、馬肉料理,046-281-8691,本厚木駅 93m / 居酒屋、馬肉料理,https://tabelog.com/kanagawa/A1408/A140802/14101505/,2025-11-27,-,-,-,-,-,-,new,2026/01/05,2026-01-07T12:51:00.823Z
008d260f-c58e-492d-8149-b8c8978decdb,C-MEN-HAN. マルイ溝口店,中華料理,044-322-9988,武蔵溝ノ口駅 153m / 中華料理,https://tabelog.com/kanagawa/A1405/A140505/14098774/,2025-04-24,-,-,-,-,-,-,new,2026/01/05,2026-01-06T10:07:07.987Z
